Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Reazione al farmaco,fermare l'irritazione,consultare l'ospedale più vicino,smettere di prendere il farmaco,follow up
Malaria,consulta l'ospedale più vicino,evitare cibi grassi,evitare cibi non vegetariani,tenere lontane le zanzare
Allergia, applicare calamina, coprire l'area con una benda,usa il ghiaccio per comprimere il prurito
Ipotiroidismo, ridurre lo stress, fare esercizio fisico, mangiare sano,dormire bene
Psoriasi, lavarsi le mani con acqua tiepida e sapone, fermare l'emorragia esercitando pressione, consultare un medico,bagni di sale
GERD, evitare cibi grassi e piccanti, evitare di sdraiarsi dopo aver mangiato, mantenere un peso sano,esercizio
Colestasi cronica, bagni freddi, medicine antiprurito, consultare un medico,mangiare sano
epatite A, consultare l'ospedale più vicino, lavarsi le mani, evitare cibi grassi e piccanti,medicazione
Osteoartrite, paracetamolo, consultare l'ospedale più vicino, follow-up,bagni di sale
(vertigini) Vertigini posizionali paromimatiche, sdraiarsi, evitare cambiamenti improvvisi del corpo, evitare movimenti bruschi della testa,relax
Ipoglicemia, sdraiarsi su un fianco, controllare il polso, bere bevande zuccherate,consultare il medico
Acne, fare il bagno due volte, evitare cibi grassi e piccanti, bere molta acqua, evitare troppi prodotti
Diabete, dieta equilibrata, esercizio fisico, consultare il medico, follow-up
Impetigine, immergere l'area interessata in acqua tiepida, utilizzare antibiotici, rimuovere le croste con un panno compresso umido, consultare un medico
Ipertensione, meditazione, bagni di sale, riducono lo stress, dormono bene
Ulcera peptica, evitare cibi grassi e piccanti, consumare cibi probiotici, eliminare il latte, limitare l'alcol
Emorroidi dimorfiche (mucchi), evitare cibi grassi e piccanti, consumare amamelide, bagno caldo con sale Epsom, consumare succo di alovera
Raffreddore comune, bere bevande ricche di vitamina C, assumere vapore, evitare cibi freddi, tenere sotto controllo la febbre
Varicella, usa il neem per fare il bagno, consuma le foglie di neem, prendi il vaccino, evita i luoghi pubblici
Spondilosi cervicale, utilizzare un cuscinetto riscaldante o un impacco freddo, fare esercizio fisico, assumere antidolorifici da banco, consultare un medico
Ipertiroidismo, mangiare sano, massaggiare, usare la melissa, prendere un trattamento con iodio radioattivo
Infezione del tratto urinario, bere molta acqua, aumentare l’apporto di vitamina C, bere succo di mirtillo rosso, assumere probiotici
Vene varicose, sdraiarsi e sollevare la gamba in alto, usare unguenti, usare la compressione delle vene, non stare fermi a lungo
AIDS, evitare tagli aperti, indossare DPI se possibile, consultare un medico, follow-up
Paralisi (emorragia cerebrale), massaggio, mangiare sano, fare esercizio fisico, consultare il medico
Tifo, mangiare verdure ad alto contenuto calorico, terapia antibiotica, consultare un medico, farmaci
Epatite B, consultare l'ospedale più vicino, vaccinarsi, mangiare sano, assumere farmaci
Infezione fungina, fare il bagno due volte, usare detol o neem nell'acqua di balneazione, mantenere asciutta l'area infetta, usare panni puliti
Epatite C, consultare l'ospedale più vicino, vaccinarsi, mangiare sano, assumere farmaci
Emicrania, meditazione, riduzione dello stress, uso di occhiali da sole, consultare un medico
Asma bronchiale, indossare abiti larghi, fare respiri profondi, allontanarsi dalle cause scatenanti, cercare aiuto
Epatite alcolica, interrompere il consumo di alcol, consultare un medico, farmaci, follow-up
Ittero, bere molta acqua, consumare cardo mariano, mangiare frutta e cibi ricchi di fibre, farmaci
Epatite E, interrompere il consumo di alcol, riposare, consultare un medico, farmaci
Febbre Dengue, bevi succo di foglie di papaya, evita cibi grassi e piccanti, tieni lontane le zanzare, mantieniti idratato
Epatite D, consultare il medico, assumere farmaci, mangiare sano, seguire
Attacco di cuore, chiama l'ambulanza, mastica o ingoia asprina, mantieni la calma,
Polmonite, consultare un medico, farmaci, riposo, follow-up
Artrite, esercizio fisico, uso della terapia del caldo e del freddo, prova l'agopuntura, il massaggio
Gastroenterite, smetti di mangiare cibi solidi per un po', prova a bere piccoli sorsi d'acqua, riposati, torna a mangiare con calma
Tubercolosi, coprire la bocca, consultare un medico, farmaci, riposare
